slug,lang,publicUrl,httpStatus,canonical,canonicalOk,title,brandCount,h1Count,h1Text,hreflangEs,hreflangEn,hreflangFr,hreflangXDefault,isReciprocal,passed
"oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","es","https://www.puntacanainvestmentsrd.com/es/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort",200,"https://www.puntacanainvestmentsrd.com/es/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort",true,"Villa Jaguey 3 de Oportunidad | Vistas al Golf | US$2.57M | Punta Cana | Punta Cana Investments",1,1,"Villa Jaguey un Refugio Tropical con Vistas al Golf y Alto Potencial de Expansión","https://www.puntacanainvestmentsrd.com/es/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","https://www.puntacanainvestmentsrd.com/en/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","https://www.puntacanainvestmentsrd.com/fr/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","https://www.puntacanainvestmentsrd.com/en/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort",true,true
"oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","en","https://www.puntacanainvestmentsrd.com/en/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort",200,"https://www.puntacanainvestmentsrd.com/en/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort",true,"Villa Jaguey 3 Opportunity | Golf Views | US$2.57M | Punta Cana | Punta Cana Investments",1,1,"Villa Jaguey a Tropical Retreat with Golf Views and High Expansion Potential","https://www.puntacanainvestmentsrd.com/es/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","https://www.puntacanainvestmentsrd.com/en/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","https://www.puntacanainvestmentsrd.com/fr/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","https://www.puntacanainvestmentsrd.com/en/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort",true,true
"oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","fr","https://www.puntacanainvestmentsrd.com/fr/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort",200,"https://www.puntacanainvestmentsrd.com/fr/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort",true,"Opportunité Villa Jaguey 3 | Vue sur le Golf | 2,57 M$ US | Punta Cana | Punta Cana Investments",1,1,"Villa Jaguey une Retraite Tropicale avec Vue sur le Golf et Fort Potentiel d&#x27;Expansion","https://www.puntacanainvestmentsrd.com/es/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","https://www.puntacanainvestmentsrd.com/en/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","https://www.puntacanainvestmentsrd.com/fr/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort","https://www.puntacanainvestmentsrd.com/en/properties/oportunidad-villa-jaguey-3-vistas-golf-puntacana-resort",true,true
"exclusiva-villa-corales-golf-lago","es","https://www.puntacanainvestmentsrd.com/es/properties/exclusiva-villa-corales-golf-lago",200,"https://www.puntacanainvestmentsrd.com/es/properties/exclusiva-villa-corales-golf-lago",true,"Villa Contemporánea con Vistas al Lago en Corales, Punta Cana | Punta Cana Investments",1,1,"Villa Contemporánea con Vistas al Lago en Corales, Punta Cana","https://www.puntacanainvestmentsrd.com/es/properties/exclusiva-villa-corales-golf-lago","https://www.puntacanainvestmentsrd.com/en/properties/exclusiva-villa-corales-golf-lago","https://www.puntacanainvestmentsrd.com/fr/properties/exclusiva-villa-corales-golf-lago","https://www.puntacanainvestmentsrd.com/en/properties/exclusiva-villa-corales-golf-lago",true,true
"exclusiva-villa-corales-golf-lago","en","https://www.puntacanainvestmentsrd.com/en/properties/exclusiva-villa-corales-golf-lago",200,"https://www.puntacanainvestmentsrd.com/en/properties/exclusiva-villa-corales-golf-lago",true,"Contemporary Villa with Lake Views in Corales, Punta Cana | Punta Cana Investments",1,1,"Contemporary Villa with Lake Views in Corales, Punta Cana","https://www.puntacanainvestmentsrd.com/es/properties/exclusiva-villa-corales-golf-lago","https://www.puntacanainvestmentsrd.com/en/properties/exclusiva-villa-corales-golf-lago","https://www.puntacanainvestmentsrd.com/fr/properties/exclusiva-villa-corales-golf-lago","https://www.puntacanainvestmentsrd.com/en/properties/exclusiva-villa-corales-golf-lago",true,true
"exclusiva-villa-corales-golf-lago","fr","https://www.puntacanainvestmentsrd.com/fr/properties/exclusiva-villa-corales-golf-lago",200,"https://www.puntacanainvestmentsrd.com/fr/properties/exclusiva-villa-corales-golf-lago",true,"Villa Contemporaine avec Vue sur le Lac à Corales, Punta Cana | Punta Cana Investments",1,1,"Villa Contemporaine avec Vue sur le Lac à Corales, Punta Cana","https://www.puntacanainvestmentsrd.com/es/properties/exclusiva-villa-corales-golf-lago","https://www.puntacanainvestmentsrd.com/en/properties/exclusiva-villa-corales-golf-lago","https://www.puntacanainvestmentsrd.com/fr/properties/exclusiva-villa-corales-golf-lago","https://www.puntacanainvestmentsrd.com/en/properties/exclusiva-villa-corales-golf-lago",true,true
"apartamento-1-habitacion-epic-punta-cana","es","https://www.puntacanainvestmentsrd.com/es/properties/apartamento-1-habitacion-epic-punta-cana",200,"https://www.puntacanainvestmentsrd.com/es/properties/apartamento-1-habitacion-epic-punta-cana",true,"Apartamento en Venta en Epic Punta Cana | Inversión y Airbnb | Punta Cana Investments",1,1,"Exclusivo Apartamento de 1 Habitación en Epic Punta Cana","https://www.puntacanainvestmentsrd.com/es/properties/apartamento-1-habitacion-epic-punta-cana","https://www.puntacanainvestmentsrd.com/en/properties/apartamento-1-habitacion-epic-punta-cana","https://www.puntacanainvestmentsrd.com/fr/properties/apartamento-1-habitacion-epic-punta-cana","https://www.puntacanainvestmentsrd.com/en/properties/apartamento-1-habitacion-epic-punta-cana",true,true
"apartamento-1-habitacion-epic-punta-cana","en","https://www.puntacanainvestmentsrd.com/en/properties/apartamento-1-habitacion-epic-punta-cana",200,"https://www.puntacanainvestmentsrd.com/en/properties/apartamento-1-habitacion-epic-punta-cana",true,"Condo for Sale in Epic Punta Cana | Real Estate Investment &amp; Airbnb | Punta Cana Investments",1,1,"Exclusive 1-Bedroom Condo in Epic Punta Cana","https://www.puntacanainvestmentsrd.com/es/properties/apartamento-1-habitacion-epic-punta-cana","https://www.puntacanainvestmentsrd.com/en/properties/apartamento-1-habitacion-epic-punta-cana","https://www.puntacanainvestmentsrd.com/fr/properties/apartamento-1-habitacion-epic-punta-cana","https://www.puntacanainvestmentsrd.com/en/properties/apartamento-1-habitacion-epic-punta-cana",true,true
"apartamento-1-habitacion-epic-punta-cana","fr","https://www.puntacanainvestmentsrd.com/fr/properties/apartamento-1-habitacion-epic-punta-cana",200,"https://www.puntacanainvestmentsrd.com/fr/properties/apartamento-1-habitacion-epic-punta-cana",true,"Appartement à Vendre à Epic Punta Cana | Investissement Immobilier | Punta Cana Investments",1,1,"Appartement Exclusif d&#x27;une Chambre à Epic Punta Cana","https://www.puntacanainvestmentsrd.com/es/properties/apartamento-1-habitacion-epic-punta-cana","https://www.puntacanainvestmentsrd.com/en/properties/apartamento-1-habitacion-epic-punta-cana","https://www.puntacanainvestmentsrd.com/fr/properties/apartamento-1-habitacion-epic-punta-cana","https://www.puntacanainvestmentsrd.com/en/properties/apartamento-1-habitacion-epic-punta-cana",true,true
"penthouse-amueblado-rooftop-picuzzi-white-sands","es","https://www.puntacanainvestmentsrd.com/es/properties/penthouse-amueblado-rooftop-picuzzi-white-sands",200,"https://www.puntacanainvestmentsrd.com/es/properties/penthouse-amueblado-rooftop-picuzzi-white-sands",true,"Penthouse Amueblado con Rooftop y Picuzzi en White Sands | Punta Cana Investments",1,1,"Espectacular Penthouse Amueblado con Rooftop Privado y Picuzzi en White Sands","https://www.puntacanainvestmentsrd.com/es/properties/penthouse-amueblado-rooftop-picuzzi-white-sands","https://www.puntacanainvestmentsrd.com/en/properties/penthouse-amueblado-rooftop-picuzzi-white-sands","https://www.puntacanainvestmentsrd.com/fr/properties/penthouse-amueblado-rooftop-picuzzi-white-sands","https://www.puntacanainvestmentsrd.com/en/properties/penthouse-amueblado-rooftop-picuzzi-white-sands",true,true
